1,MIDDLE OF THE NIGHT,87,Elley Duhé,2022-01-22 12:48:26.55,2022-01-22
2,Umrumda Değil,76,UZI,2022-01-22 11:11:34.242,2022-01-22
3,CINDY,77,UZI,2022-01-22 11:08:28.712,2022-01-22
4,PAPARAZZI,81,UZI,2022-01-22 11:06:29.255,2022-01-22
5,Woman,95,Doja Cat,2022-01-22 11:03:32.711,2022-01-22
6,Big Energy,81,Latto,2022-01-22 11:00:40.25,2022-01-22
7,MIDDLE OF THE NIGHT,87,Elley Duhé,2022-01-22 10:52:06.583,2022-01-22
8,MIDDLE OF THE NIGHT,65,Monsta X,2022-01-22 10:45:23.778,2022-01-22
9,MIDDLE OF THE NIGHT,87,Elley Duhé,2022-01-22 10:42:37.257,2022-01-22
10,Eat It,73,Megan Thee Stallion,2022-01-22 10:35:54.18,2022-01-22
11,Woman,95,Doja Cat,2022-01-22 10:33:04.447,2022-01-22
12,Big Energy,81,Latto,2022-01-22 10:30:11.72,2022-01-22
13,Big Energy,81,Latto,2022-01-22 10:24:33.723,2022-01-22
14,Eat It,73,Megan Thee Stallion,2022-01-22 10:21:00.52,2022-01-22
15,Woman,95,Doja Cat,2022-01-22 10:18:11.172,2022-01-22
16,Big Energy,81,Latto,2022-01-22 10:15:18.323,2022-01-22
17,MIDDLE OF THE NIGHT,87,Elley Duhé,2022-01-22 10:11:58.841,2022-01-22
18,MIDDLE OF THE NIGHT,87,Elley Duhé,2022-01-22 10:08:48.203,2022-01-22
19,CINDY,77,UZI,2022-01-22 10:02:29.743,2022-01-22
20,PAPARAZZI,81,UZI,2022-01-22 10:00:30.418,2022-01-22
